Category,Rank,Player,Value,Metric
Unknown,45,Jalal Eddine El Khfiyef,0.18,/90
Unknown,46,Marouane Oujeddou,0.18,/90
Unknown,47,Achraf Al Idrissi Achraf Al Idrissi,0.18,/90
Unknown,48,Abdelali Ait Brayim,0.18,/90
Unknown,49,Adam Brika,0.18,/90
Unknown,50,Mohammed Ounajem,0.18,/90
Unknown,1,Mohammed Abu Zrayq,0,/90
Unknown,2,Mohamed Kamal,0,/90
Unknown,3,Arthur Kevin Yamga,0,/90
Unknown,4,Kabelo Seakanyeng,0,/90
Unknown,5,Youssef Dalouzi,0,/90
Unknown,6,Anass Nouader,0,/90
Unknown,7,Livty Kpolo,0,/90
Unknown,8,Ismail Moutaraji,0,/90
Unknown,9,Khalil Tamrani,0,/90
Unknown,10,Ayoub Maamouri,0,/90
Unknown,11,Youssef Belammari,0,/90
Unknown,12,El Habib Brija,0,/90
Unknown,13,Bilal Ould-Chikh,0,/90
Unknown,14,Abdelkabir El Ouadi,0,/90
Unknown,15,Ismael Benktib,0.11,/90
Unknown,16,Driss El Jabli,0.12,/90
Unknown,17,Hamza Afsal,0.12,/90
Unknown,18,Ismail Khafi,0.12,/90
Unknown,19,Othmane Chraibi,0.12,/90
Unknown,20,Hamza Khaba,0.15,/90
Unknown,21,Hilal Ferdaoussi,0.21,/90
Unknown,22,Ayoub Lourhraz,0.22,/90
Unknown,23,Abdellah Khafifi,0.22,/90
Unknown,24,Adam Ennaffati,0.22,/90
Unknown,25,Amine Mehdi Oudrhiri Idrissi,0.24,/90
Unknown,26,Mohamed Boulacsout,0.24,/90
Unknown,27,Mohamed Al Makahasi,0.24,/90
Unknown,28,Sabir Bougrine,0.24,/90
Unknown,29,Mehdi Harrar,0.25,/90
Unknown,30,Redouane Mennioui,0.25,/90
Unknown,31,Badr Banoun,0.26,/90
Unknown,32,Oussama Hafari,0.27,/90
Unknown,33,Chehab Salah Al Deen,0.29,/90
Unknown,34,Besar Halimi,0.29,/90
Unknown,35,Hamza Fassoukh,0.3,/90
Unknown,36,Soufiane Benjdida,0.3,/90
Unknown,37,Jamal Ech-Chammakh,0.31,/90
Unknown,38,Amine Khammas,0.31,/90
Unknown,39,Ayoub Lakhlifi,0.32,/90
Unknown,40,Noureddine Oussama,0.32,/90
Unknown,41,Marouane Ouhrou,0.32,/90
Unknown,42,Achraf Harmach,0.33,/90
Unknown,43,Adil Rhaili,0.34,/90
Unknown,44,Ahmed Reda Tagnaouti,0.34,/90
Unknown,45,Ayoub Ait Khassou,0.34,/90
Unknown,46,Hamza Rafaa,0.34,/90
Unknown,47,Mohamed Rabie Hrimat,0.35,/90
Unknown,48,Younes El Bahraoui,0.35,/90
Unknown,49,Zine Eddine Derrag,0.35,/90
Unknown,50,Adam Brika,0.36,/90
Unknown,1,Amine El Msane,0,Scored
Unknown,2,Moussa Koté,0,Scored
Unknown,3,Hamza Hamiani Akbi,0,Scored
Unknown,4,Mohamed Chemlal,0,Scored
Unknown,5,Khalil Tamrani,0,Scored
Unknown,6,Haytam Manaout,0,Scored
Unknown,7,Imad Riahi,0,Scored
Unknown,8,Achref Habbassi,0,Scored
Unknown,9,Mohcine Bouriga,0,Scored
Unknown,10,Mohamed Bakhkhach,0,Scored
Unknown,11,Walid Jarmouni,0,Scored
Unknown,12,Younes El Amali,0,Scored
Unknown,13,Ayman Chbani,0,Scored
Unknown,14,El Habib Brija,0,Scored
Unknown,15,Achraf Hmaidou,0,Scored
Unknown,16,Moncef Amri,0,Scored
Unknown,17,Arthur Gitego,0,Scored
Unknown,18,Mountassir Lahtimi,0,Scored
Unknown,19,Zouhair Hachemi,0,Scored
Unknown,20,Brahim El Idrissi Bouzidi,0,Scored
Unknown,21,Mohamed Hilali,0,Scored
Unknown,22,Youssef Kajai,0,Scored
Unknown,23,Hamza Bousqal,0,Scored
Unknown,24,Khalid Kasbi,0,Scored
Unknown,25,Hicham Ait Brayem,0,Scored
Unknown,26,Ameur Aboujemaa,0,Scored
Unknown,27,Amine Aghou,0,Scored
Unknown,28,Mohssine Abba,0,Scored
Unknown,29,Saad El Morsli,0,Scored
Unknown,30,Fouad Zahouani,0,Scored
Unknown,31,Zakaria Hamadi,0,Scored
Unknown,32,Hamza El Moudene,0,Scored
Unknown,33,Papa Magueye Gaye,0,Scored
Unknown,34,Hamza Ait Allah,0,Scored
Unknown,35,Anas Mkhair,0,Scored
Unknown,36,Abdelhak Assal,0,Scored
Unknown,37,Munir Mohand Mohamedi,0,Scored
Unknown,38,Yassine Zraa,0,Scored
Unknown,39,Assane Beye,0,Scored
Unknown,40,Yassine Jabrane,0,Scored
Unknown,41,Mounir El Gouj,0,Scored
Unknown,42,Zakaria Ajoughlal,0,Scored
Unknown,43,Anass El Ghannouj,0,Scored
Unknown,44,Abdelkabir El Ouadi,0,Scored
Unknown,45,Souhail Zamrat,0,Scored
Unknown,46,Zoubir Housni,0,Scored
Unknown,47,Mohammed Hmad,0,Scored
Unknown,48,Youssef Fahmi,0,Scored
Unknown,49,Tumisang Orebonye,0,Scored
Unknown,50,Sofian El Moudane,0,Scored
Unknown,1,Marwan Louadni,7,Cards
Unknown,2,Ismael Benktib,6,Cards
Unknown,3,Joseph Bakasu,6,Cards
Unknown,4,Adam Brika,6,Cards
Unknown,5,Sofian El Moudane,6,Cards
Unknown,6,Oussama Soukhal,5,Cards
Unknown,7,Reda Ait Boughima,5,Cards
Unknown,8,Abdellatif El Bajjani,5,Cards
Unknown,9,Bilal ElOuadghiri,5,Cards
Unknown,10,Amine Aboulfath,5,Cards
Unknown,11,Younes Akharraz,5,Cards
Unknown,12,Marouane Ouhrou,5,Cards
Unknown,13,Assane Beye,5,Cards
Unknown,14,Jalal Eddine El Khfiyef,5,Cards
Unknown,15,Noureddine Oussama,5,Cards
Unknown,16,Hossam Essadak,5,Cards
Unknown,17,Larbi Naji,5,Cards
Unknown,18,Imad Khannouss,5,Cards
Unknown,19,Yassine Kordani,5,Cards
Unknown,20,Hamza Regragui,4,Cards
Unknown,21,Marouane Oujeddou,4,Cards
Unknown,22,Mohamed Rabie Hrimat,4,Cards
Unknown,23,Othmane Chraibi,4,Cards
Unknown,24,Youssef Kajai,4,Cards
Unknown,25,Hicham Ait Brayem,4,Cards
Unknown,26,Brahim Amzili,4,Cards
Unknown,27,Ismail Mihrab,4,Cards
Unknown,28,Nacer Moustaghfir,4,Cards
Unknown,29,Joneston Omorwa,4,Cards
Unknown,30,Mohamed El Arouch,4,Cards
Unknown,31,Ismail Khafi,4,Cards
Unknown,32,Abdelghafour Lamirat,4,Cards
Unknown,33,Abderrahman El Hoausli,4,Cards
Unknown,34,Anass Eddaou,4,Cards
Unknown,35,Anass Lamrabat,4,Cards
Unknown,36,Abdellah Khafifi,4,Cards
Unknown,37,Nadir Lougmani,4,Cards
Unknown,38,Youness Dahmani,4,Cards
Unknown,39,Driss El Jabli,3,Cards
Unknown,40,Anas Nanah,3,Cards
Unknown,41,Yassine Fatine,3,Cards
Unknown,42,Youssef Michte,3,Cards
Unknown,43,Mohamed Bentarcha,3,Cards
Unknown,44,Mohamed Moufid,3,Cards
Unknown,45,Yacine Bammou,3,Cards
Unknown,46,Guilherme Ferreira de Oliveira,3,Cards
Unknown,47,Soulaimane El Bouchqali,3,Cards
Unknown,48,Abderrahmane Kassak,3,Cards
Unknown,49,Adil Rhaili,3,Cards
Unknown,50,Mouad Mouchtanim,3,Cards
Unknown,1,Abderrahman El Hoausli,2,Cards
Unknown,2,Bilal ElOuadghiri,2,Cards
Unknown,3,Yassine Kordani,2,Cards
Unknown,4,Amine El Ouaad,2,Cards
Unknown,5,Sofian El Moudane,2,Cards
Unknown,6,José Dembi,1,Cards
Unknown,7,Jamal Ech-Chammakh,1,Cards
Unknown,8,Soumaila Sidibe,1,Cards
Unknown,9,Mamadou Lamine Camara,1,Cards
Unknown,10,Mohamed Reda Asmama,1,Cards
Unknown,11,Mohamed Boulacsout,1,Cards
Unknown,12,Reda Abardi,1,Cards
Unknown,13,Ilyass Badri,1,Cards
Unknown,14,Jalal Eddine El Khfiyef,1,Cards
Unknown,15,El Yazid Faffa,1,Cards
Unknown,16,Hamza Regragui,1,Cards
Unknown,17,Ismail Moutaraji,1,Cards
Unknown,18,Brahim Amzili,1,Cards
Unknown,19,Hamza Malki,1,Cards
Unknown,20,Marouane Oujeddou,1,Cards
Unknown,21,Danilson Gomes Tavares,1,Cards
Unknown,22,Mouad Mouchtanim,1,Cards
Unknown,23,Chouaib Faidi,1,Cards
Unknown,24,Soufiane Tazi,1,Cards
Unknown,25,Oussama Soukhal,1,Cards
Unknown,26,Lamina Diakité,1,Cards
Unknown,27,Tahar Ahmed Madeira El Khalej,1,Cards
Unknown,28,Walid Nassi Ouled Bentle,1,Cards
Unknown,29,Joneston Omorwa,1,Cards
Unknown,30,Ennaama El Bellali,1,Cards
Unknown,31,Anass Lamrabat,1,Cards
Unknown,32,Hamza Fassoukh,1,Cards
Unknown,33,Assane Beye,1,Cards
Unknown,34,Oussama Daoui,1,Cards
Unknown,35,Hossam Essadak,1,Cards
Unknown,36,Adam Brika,1,Cards
Unknown,37,Siriki Sanogo,1,Cards
Unknown,38,Amine Mehdi Oudrhiri Idrissi,1,Cards
Unknown,39,Reda Bounaga,1,Cards
Unknown,40,Yasser Ezzine,1,Cards
Unknown,41,Youssef Limouri,1,Cards
Unknown,42,Guilherme Ferreira de Oliveira,1,Cards
Unknown,43,Anass Eddaou,1,Cards
Unknown,44,Driss El Jabli,1,Cards
Unknown,45,Mohamed Hilali,0,Cards
Unknown,46,Brahim El Idrissi Bouzidi,0,Cards
Unknown,47,Amine Aghou,0,Cards
Unknown,48,Mohcine Bouriga,0,Cards
Unknown,49,Hamza Bousqal,0,Cards
Unknown,50,Youssef Kajai,0,Cards
Unknown,1,Youssef Dalouzi,2.14,/90
Unknown,2,Ahmed Chentouf,1.58,/90
Unknown,3,El Habib Brija,1.48,/90
Unknown,4,Yassine Kordani,1.22,/90
Unknown,5,Hossam Essadak,1.13,/90
Unknown,6,Ismail Moutaraji,1.1,/90
Unknown,7,Jalal Eddine El Khfiyef,0.92,/90
Unknown,8,Mouad Mouchtanim,0.83,/90
Unknown,9,Hicham Boussefiane,0.82,/90
Unknown,10,Anas Nanah,0.81,/90
Unknown,11,Bilal ElOuadghiri,0.8,/90
Unknown,12,Nacer Moustaghfir,0.8,/90
Unknown,13,Sofian El Moudane,0.8,/90
Unknown,14,Anass Eddaou,0.75,/90
Unknown,15,Mohamed El Badoui,0.73,/90
Unknown,16,Ayoub Bouzidi,0.72,/90
Unknown,17,Reda Bounaga,0.7,/90
Unknown,18,Mohssine Abba,0.65,/90
Unknown,19,Ismael Benktib,0.64,/90
Unknown,20,Youssef Limouri,0.64,/90
Unknown,21,Hilal Ferdaoussi,0.64,/90
Unknown,22,Adam Brika,0.63,/90
Unknown,23,Naim Byar,0.62,/90
Unknown,24,Yasser Ezzine,0.61,/90
Unknown,25,Hamza Fassoukh,0.6,/90
Unknown,26,Younes Najjari,0.59,/90
Unknown,27,Chouaib Faidi,0.59,/90
Unknown,28,Mohamed Adjar,0.58,/90
Unknown,29,Guilherme Ferreira de Oliveira,0.57,/90
Unknown,30,Mohamed Habbali,0.57,/90
Unknown,31,Loay El Moussaoui,0.56,/90
Unknown,32,Hamza El Moudene,0.56,/90
Unknown,33,Amine Azri,0.56,/90
Unknown,34,Ennaama El Bellali,0.55,/90
Unknown,35,Assane Beye,0.55,/90
Unknown,36,Oussama Hafari,0.54,/90
Unknown,37,Ismail Mihrab,0.53,/90
Unknown,38,Reda Ait Boughima,0.53,/90
Unknown,39,Mohamed Morabit,0.53,/90
Unknown,40,Mohamed El Arouch,0.52,/90
Unknown,41,Joneston Omorwa,0.51,/90
Unknown,42,Anass Lamrabat,0.51,/90
Unknown,43,Younes Akharraz,0.51,/90
Unknown,44,Zakaria Ajoughlal,0.51,/90
Unknown,45,Marwan Louadni,0.5,/90
Unknown,46,Bart Meijers,0.5,/90
Unknown,47,Zakaria Bakkali,0.49,/90
Unknown,48,Driss El Jabli,0.48,/90
Unknown,49,Joseph Bakasu,0.48,/90
Unknown,50,Hamza Regragui,0.48,/90
